Model,Accuracy,Precision,Recall,F1 Score,AUC
VGG16,0.910625,0.911528190884437,0.910625,0.910444943730636,0.9889994791666666
DenseNet121,0.89125,0.8912095219906633,0.89125,0.8909967598327829,0.9832463541666667
ResNet50V2,0.89875,0.8990020159863426,0.89875,0.8985108952722259,0.9820791666666666
MobileNetV2,0.76875,0.8338199170037736,0.76875,0.7552423663090463,0.9613786458333333
EfficientNetB4,0.39375,0.585039566292011,0.39375,0.3226653730963811,0.7104776041666667
InceptionV3,0.88625,0.8901060335278569,0.88625,0.8865552911957988,0.9845822916666667
Xception,0.80875,0.8092821124415511,0.80875,0.8089122444024138,0.9554015625
ConvNeXtTiny,0.76875,0.815243122362609,0.76875,0.7762507202922471,0.9458880208333333
CustomCNN,0.269375,0.32673319327731093,0.269375,0.150410919141857,0.6742611979166666
